participante_id,edad,nivel_educacion,memoria_inmediata,memoria_trabajo,memoria_visual,tiempo_reaccion,precision_respuestas,atencion_sostenida,fatiga_cognitiva,categoria_memoria
P001,25,3,8.5,8.2,8.7,420,94.3,8.9,1,alto
P002,45,2,6.2,5.8,6.5,590,76.1,6.8,3,medio
P003,68,1,4.1,3.8,4.4,850,58.7,4.2,4,bajo
P004,30,3,7.9,7.5,8.1,460,89.5,8.3,2,alto
P005,55,2,5.9,5.5,6.2,640,71.8,6.1,3,medio
P006,72,1,3.5,3.2,3.8,920,52.4,3.6,5,bajo
P007,22,2,8.1,7.8,8.4,440,91.2,8.6,1,alto
P008,60,2,5.2,4.9,5.6,710,68.3,5.4,3,medio
P009,35,3,7.6,7.2,7.9,490,86.7,7.8,2,alto
P010,75,1,3.8,3.5,4.1,980,49.6,3.9,5,bajo
